Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Interaction type,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,0.534,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,16,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,2.169,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,65,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Joint Movement,Affiliative,START,82.583,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,2475,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Joint Movement,Affiliative,STOP,88.555,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,2654,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,213.447,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,6397,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,START,213.447,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,6397,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,STOP,229.563,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,6880,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,230.197,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,6899,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,247.481,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,7417,NA,
Saxtorp_10_20_HorseHuman_v2,2024-10-03 09:37:17.663,,1270.803,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,0.0,1271.370,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,247.481,D:/Videos from Trainings/Original Files/Practice/Saxtorp_10_20_HorseHuman_v2.MP4,7417,NA,
